Corps,Catégorie
"Email d'origine : contrat 557397.msg

bonjour je viens de recevoir ma facture d'electricite et je souhaite que mes mensualites restent a  et non  comme l'indique mon nouvel echeancier avec mes remerciements ",4
"Email d'origine : Re  Votre demande (75).msg

bonjour voici les releves de compteur heures creuses heures pleines ma nouvelle adresse est place lamartine appartement illkirchgraffenstaden en vous remerciant cordialement de accueil a envoye jeudi juin objet votre demande bonjour monsieur nous avons bien pris connaissance de votre demande de resiliation de votre contrat d'electricite au route de a illkirch graffenstaden pour simplifier vos demarches nous vous invitons a nous adresser par retour de mail vos releves de compteur en heures creuses et en heures pleines ainsi que votre nouvelle adresse le apres votre demenagement votre contrat de fourniture sera resilie des reception de ces indications une derniere facture vous sera ensuite adressee par voie postale a votre nouvelle adresse nous restons a votre disposition pour tous renseignements complementaires cordialement guete votre conseiller si vous n'imprimez ce mail qu'en cas de necessite vous contribuerez a preservation de l'environnement energies sa rue du marais vert cedex rcs b email mailto de mailto envoye mercredi juin a accueil objet resiliation contrat bonjour je demenage le premier juillet et souhaiterais donc resilier mon contrat reference comment puisje proceder en vous remerciant cordialement ",1
"Email d'origine : Fwd  La Résiliation De Contrat DÉlectricité.msg

bonjour j'ai demande resiliation de mon contrat d'electricite le avril et recu une facture electronique qui indiquait un montant au total  je vous ecris ce courriel pour etre sure que le montant indique est vrai car mes factures etaient au maximum  cordialement forwarded message from mailto date apr at subject resiliation de contrat delectricite to mailto mailto madame templie r appelle et j'habite a rue des magasins je voudrais resilier mon contrat d'electricite j'ai demenage le avril ref edl pleine creuse cordialement bbfedbefac bbfedefa",0
"Email d'origine : Formulaire de contact   Divers (26).msg

email envoye automatiquement suite a une demande sur le site energies monsieur telephone objet divers adresse electronique message je souhaite avoir un double de facture n° n° client r j avec periode concernee je vous en remercie energies social rue du marais vert cedex ",4
"Email d'origine : Re  Votre demande (60).msg

bonjour par presente je vous demande de bien vouloir resilier mes contrats de gaz et electricite pour mon ancien logement situe rue du colonel jean de a en date du juin il n'est pas necessaire de prevoir un rdv technique les compteurs seront reprises par le nouveau locataire l'etat de lieu est prevu pour demain lecture des compteurs vous sera communique apres merci d'avance et salutations respectueuses le juin accueil mailto a ecrit bonjour nous avons bien recu votre demande de mensualisation apres analyse de votre contrat nous constatons que nous n'avons pas suffisamment d'informations sur vos consommations pour estimer vos mensualites c'est pourquoi nous vous remercions de bien vouloir nous contacter au nous echangerons a cette occasion sur vos habitudes de consommations afin de vous proposer une mensualite adaptee dans l'attente de votre appel bien cordialement guete votre conseiller si vous n'imprimez ce mail qu'en cas de necessite vous contribuerez a preservation de l'environnement energies sa rue du marais vert cedex rcs b email mailto de mailto mailto mailto de part de envoye lundi juin a accueil mailto objet re souscription de contrat bonjour et merci pour votre reponse je suis mensualise pour mes factures d'electricite et je souhaite de continuer ainsi pourriezvous s'il vous mettre en place cette procedure je suis a votre disposition pour toutes informations complementaires merci d'avance et cordiales salutations le juin accueil mailto a ecrit bonjour monsieur nous avons bien enregistre votre demande de souscription nous vous confirmons qu'un nouveau contrat de fourniture a bien ete enregistre a votre nom au a rue du depute a creation d'un nouveau contrat est une prestation reglementaire facturee a  ce montant sera inclus dans facture de souscription qui sera envoyee par voie postale celleci comprendra egalement deux mois d'abonnement nous vous suggerons de veiller a faire figurer votre nom sur votre boite aux lettres pour le bon acheminement de nos courriers afin d'acceder a votre contrat h et j nous vous invitons a creer votre espass personnel nous vous invitons a consulter une video accessible depuis le site http energies electriciteservicesenligneespasspersonnel pour decouvrir toutes les fonctionnalites disponibles entre nous nous vous recommandons de souscrire a facture electronique pour vous simplifier consultation et l'archivage de vos factures dont vous pouvez a tout moment nous demander une copie gratuitement nous restons bien entendu a votre disposition pour tous renseignements complementaires cordialement guete votre conseiller si vous n'imprimez ce mail qu'en cas de necessite vous contribuerez a preservation de l'environnement energies sa rue du marais vert cedex rcs b email mailto demandeur nature je suis un particulier intitule m nom date de naissance categorie socioprofessionnelle employeouvrier email mailto telephone mobile cotitulaire intitule nom numero de compteur adresse adresse valide oui numero d'appartement numero type et libelle voie a rue du depute lieudit mention de distribution postal commune adresse d'envoi des factures adresse valide oui numero d'appartement numero type et libelle voie a rue du depute lieudit mention de distribution postal commune ",0
"Email d'origine : Formulaire de contact   Renseignement (2).msg

email envoye automatiquement suite a une demande sur le site energies monsieur telephone objet renseignement adresse electronique message bonjour je n'ai pas recu de facture pour le prelevement du mois de juillet je ne sais pas s'il y en a une merci pour votre reponse cordialement energies social rue du marais vert cedex ",4
"Email d'origine : fisching internet .msg

bonjour je vous signale une tentative descroquerie par fisching le mail parle de linstallation du linky dun particulier mais avec une fausse adresse et donne les coordones dappel suivant tel ou ou alors vos bases de donnees sont erronnees cordialement docteur p",2
"Email d'origine : résiliation contrat (3).msg

bonjour je ne peux pas relever mon compteur car j'ai demenage mai dans une autre region je n'avais pas encore demande resiliation de mon contrat parce que des travaux etaient effectues dans l'appartement avant mise en location c'est un agent immobilier qui s'est occupe de location et le releve du compteur a ete effectue lors de l'etat des lieux le juillet je devrais recevoir le bail et l'etat des lieux signes lundi juillet je demande resiliation de mon contrat a partir du juillet les locataires m et ont peutetre fait le necessaire adresse rue de zurich ma nouvelle adresse le bois des ages novillars bien cordialement le a a ecrit bonjour madame vous avez souscrit a notre service releve confiance pour recevoir des factures fideles a vos consommations reelles nous vous invitons a nous communiquer les chiffres indiques sur le compteur correspondant au contrat avant le nous pourrons ainsi les prendre en compte passe ce c'est une facture basee sur une estimation de votre consommation habituelle qui vous sera envoyee pour nous transmettre votre index de compteur c'est simple et pratique voici a suivre connectezvous a votre espass personnelhttps www interactive electricite aelfraccescybercompteauthcybercompteprocess puis cliquez sur reference de contrat citee plus haut vous avez ainsi acces a l'onglet mes services en ligne puis saisir ma releve vous pouvez alors saisir le releve reel de votre compteur nous vous rappelons que le releve confiance ne remplace pas le releve reel de votre compteur tous les mois par un agent du gestionnaire de reseau de distribution d'electricite pensez a lui laisser libre acces a votre compteur cordialement votre conseiller si vous n'imprimez ce mail qu'en cas de necessite vous contribuerez a preservation de l'environnement energies sa rue du marais vert cedex capital  rcs email ",0
"Email d'origine : Résiliation du contrat n°899764.msg

bonjour je vous confirme resiliation du contrat pour le logement sis rue du faubourg national a le compteur a ete releve lors de l'etat des lieux cordiales salutations message du de accueil a copie a objet votre demande du bonjour madame nous vous confirmons prise en compte de votre information nous restons bien entendu a votre disposition pour tous renseignements complementaires bien cordialement guete votre conseiller si vous n'imprimez ce mail qu'en cas de necessite vous contribuerez a preservation de l'environnement energies sa rue du marais vert cedex rcs b email mailto de mailto envoye mardi mai a accueil cc jacques objet re votre demande de resiliation de contrat bonjour cet appartement etant occupe par mon fils vous pourrez m'adresser derniere facture au rue du roggenberg a altkirch comme actuellement nous vous transmettrons le releve de compteur le comme demande pour resiliation du contrat merci cordiales salutations message du de accueil mailto a mailto mailto copie a objet votre demande de resiliation de contrat bonjour madame nous avons bien pris connaissance de votre demande de resiliation de votre contrat d'electricite au rue du faubourg national a pour simplifier vos demarches nous vous invitons a nous adresser par retour de mail votre releve de compteur ainsi que votre nouvelle adresse le apres votre demenagement votre contrat de fourniture sera resilie des reception de ces indications une derniere facture vous sera ensuite adressee par voie postale a votre nouvelle adresse nous restons a votre disposition pour tous renseignements complementaires cordialement guete votre conseiller si vous n'imprimez ce mail qu'en cas de necessite vous contribuerez a preservation de l'environnement energies sa rue du marais vert cedex rcs b email mailto reference client commentaires du client bonjour ayant un projet de demenagement le bail de l'appartement sis rue du faubourg national a ete resilie au aussi je souhaiterai resilie le contrat avec vous y afferant merci de me communiquer par mail mailto marche a suivre cordiales salutations ",0
"Email d'origine : Résiliation contrat  n° 207752.msg

merci d'adresser toutes vos correspondances a rue de croix illkirch bonjour merci de proceder a resiliation du contrat cite en reference maison a ete vendue ce jour contrat n° client titulaire rue de benfeld releve du compteur le juillet kwh bonne reception",0
"Email d'origine : re  Votre compte internet (24).msg

eespere avoir reussi de creer mon compte personnel et espere qu'il est securise seait contente que vous confirmiez merci message du de a copie a objet votre compte internet bonjour nous vous confirmons prise en compte de votre demande de creation de votre compte internet pour finaliser creation de votre compte merci de cliquer sur le lien suivant pour saisir vos donnees personnelles icihttps www interactive electricite netaelfrcreercybercomptecreercybercompteprocess codeactionappelcollectepreremplitypeuseruememail referenceidsll bien cordialement votre conseiller ce courrier electronique vous est envoye par l'espass personnel energies suite a votre demande de creation de compte internet merci de ne pas repondre a ce courrier ",5
"Email d'origine : contrat numéro 1218374.msg

bonjour je vous ecris concernant une de nos locataire madame locataire au rue de niederbronn a comme explique lors de ma conversation telephonique aupres du service recouvrement madame est locataire depuis le et il n'ya pas eu de releves de compteur au moment de l'etat des lieux seulement en avril par ma collegue afin de pouvoir calculer part de ce que madame doiti il m'a ete demande d'envoyer par mail le numero de compteur et le bail de l'ancienne locataire madame je vous donne son releve de compteur en date du en piece jointe vous trouverez le bail de mademoiselle bien cordialement service gestion",1
"Email d'origine : Formulaire envoyé via votre Assistant (6).msg

bonjour voici un formulaire envoye par un utilisateur de votre assistant nom email commentaire bonjour je vais louer un logement tout en gardant ma maison avec mon contrat actuel peuton rajouter le compteur du logement sur mon contrat actuel merci d'avance si oui quel sont les demarches page web http energies ref s http www livingactor assistanteditor~enginezwfm mozilla windows nt wow trident touch rv like gecko si cet email ne vous est pas destine merci de nous contacter a l'adresse ",3
"Email d'origine : Re  Votre demande (83).msg

bonjour ayant quitte mon appartement aujourd'hui je vous envoi le releve compteur du impasse de l'ancre a h est de kwh ma nouvelle adresse est mon adresse de facturation soit le rue de tours cordialement reference client le juin a accueil mailto a ecrit bonjour monsieur nous avons bien pris connaissance de votre demande de resiliation de votre contrat d'electricite au impasse de l ancre a pour simplifier vos demarches nous vous invitons a nous adresser par retour de mail votre releve de compteur le apres votre demenagement votre contrat de fourniture sera resilie des reception de ces indications une derniere facture vous sera ensuite adressee par voie postale a votre nouvelle adresse nous restons a votre disposition pour tous renseignements complementaires cordialement guete votre conseiller si vous n'imprimez ce mail qu'en cas de necessite vous contribuerez a preservation de l'environnement energies sa rue du marais vert cedex rcs b email mailto reference client commentaires du client bonjour je voudrais resilier mon contrat electricite pour le juillet cordialement ",0
"Email d'origine : RE  votre demande du 11 04 2017.msg

bonsoir jai bien recu votre facture du mai relative au contrat n° rue de schengen elle sappuie sur un index estime de or lindex qui jai releve sur le compteur il y a quelques jours etait de votre facture est donc surestimee par rapport a realite de ma consommation jaimerais donc que vous rectifiiez ou que vous effectuiez un releve a distance bien cordialement directeuradjoint ville et de direction mobiltes espaces publics et naturels parc de l' cedex portable telephone poste logo ans logo http www logo facebookhttps www facebook logo twitterhttps twitter logo dailymotionhttps www dailymotion logo instagramhttps www instagram strasbourgeurometropolelogo linkedinhttps www linkedin de accueil mailto envoye mercredi avril a objet votre demande du bonjour monsieur nous avons bien pris connaissance de votre demande de resiliation de votre contrat d'electricite au rue du a pour simplifier vos demarches nous vous invitons a nous adresser par retour de mail votre releve de compteur le apres votre demenagement votre contrat de fourniture sera resilie des reception de ces indications une derniere facture vous sera ensuite adressee par voie postale a votre nouvelle adresse concernant votre demande de souscription de contrat au rue de schengen a nous avons besoin d'informations complementaires que nous vous demandons de nous fournir par retour de mail le releve du compteur des reception de ces informations le nouveau contrat de fourniture pourra etre mis en place pour vous simplifier gestion de votre contrat nous vous recommandons mensualisation avec mensualisation vous preleve de somme chaque mois a une date fixe que vous choisissez le montant de votre mensualite est determine selon vos equipements composition de votre foyer et vos habitudes de consommation vous pouvez adapter votre mensualite en fonction des modifications de vos habitudes de consommation pour cela vous pouvez vous rendre sur votre espass personnel une fois votre contrat actif nous vous invitons a consulter une video accessible depuis le site http energies electriciteservicesenligneespasspersonnel pour decouvrir toutes les fonctionnalites disponibles nous restons a votre disposition pour tous renseignements complementaires bien cordialement guete votre conseiller si vous n'imprimez ce mail qu'en cas de necessite vous contribuerez a preservation de l'environnement energies sa rue du marais vert cedex rcs b email mailto reference client commentaires du client bonsoir je vais demenager le avril prochain dans un logement que j'ai acquis situe au rue de schengen a ce logement fait partie d'un programme de construction du carre de l'habitat il est compose au total de logements distincts actuellement les differents compteurs d'electricite sont tous souscrits au nom du carre de l'habitat pourriezvous transferer le contrat qui me concerne reference rtpl e a effet du avril prochain sous quelle forme doisje vous faire parvenir le releve de compteur que j'effectuerai contradictoirement avec le promoteur j'aimerais egalement resilier le contrat de mon actuel logement sis au rue du a a effet du avril merci d'avance pour votre reponse cordialement ce message est etabli a usage exclusif de son destinataire toute utilisation ou diffusion partielle ou totale doit etre prealablement autorisee tout message electronique est susceptible d'alteration et son integrite ne peut etre assuree l'expediteur decline toute responsabilite au titre de ce message s'il a ete modifie ou falsifie si vous n' pas destinataire de ce message merci de le detruire et d'avertir l'expediteur ",2
"Email d'origine : Formulaire de demande de transcription (2).msg

bonjour cijoint un formulaire de demande de transcription d'un contrat d'electricite ",3
"Email d'origine : Formulaire de contact   Divers (15).msg

email envoye automatiquement suite a une demande sur le site energies madame telephone objet divers adresse electronique message bonjour pourriezvous m'expedier par retour message le recapitulatif des prelevements d'electricite actuel j'en aurait besoin comme justificatif du domicile en vous remerciant d'avance cordialement energies social rue du marais vert cedex ",4
"Email d'origine : Fwd  Demande d'ouverture de ligne.msg

avec piece jointe image jpg image jpg envoye de mon iphone du message transfere expediteur mailto date juillet a utc destinataire mailto objet demande d'ouverture de ligne a l'attention de bonjour pour faire suite a notre conversation du je vous prie de trouver cijoint l'avis de taxe pour vous permettre d'ouvrir le compteur du contrat vous remerciant par avance jean envoye de mon iphone",3
"Email d'origine : Résiliation contrat 1246538.msg

bonjour ayant appeler plusieurs fois aujoud'hui je souhaite resilier mon contrat numero dans les plus bref delais ou transferer cet abonnement au locataire qui occupe l'appartement depuis hier mes references de contact sont les suivants et pour tout paiement ref technique rtpl l'espace de livraison est rue belle rive bat b le numero de compteur affichait une consommation de kwh merci de me confirmer de me confirmer quelle est plus rapide si resiliation ou le transfert d'abonnement au locataire bien cordialement my contacts details mailto ",0
"Email d'origine : contrat (2).msg

bonjour retourne vers vous par mail car impossible de vous avoir au telephone nous avons repris maison de ma maman contrat n° et nous aimerions connaitre les modalites pour le changement de proprietaire cordialement ",3
"Email d'origine : RE  Votre demande (47).msg

bonjour j'ai eu une longue periode de convalescence chez mes parents depuis janvier durant ces plusieurs mois j'ai ete amene a couper l'alimentation a mon disjoncteur generale de qu'avant de partir en vacances de plus je passe peu de temps dans mon studio du fait de mes contraintes pro c'est pourquoi a partir de vos estimations vous avez pu penser que le compteur etait defectueux apres verification avec le gardien de tout les compteurs sont du modele et tournent normalement cordialement le a accueil a ecrit bonjour monsieur nous faisons suite a votre demande nous vous informons qu'au vu du releve que vous nous avez transmis votre compteur ne comptabilise plus consommation en heures pleines il est bloque sur le cadran heures creuses nous vous invitons de ce fait a nous contacter par telephone au afin de planifier un rendezvous pour proceder a l'echange du compteur defectueux nous restons bien entendu a votre disposition pour tous renseignements complementaires cordialement guete votre conseiller si vous n'imprimez ce mail qu'en cas de necessite vous contribuerez a preservation de l'environnement energies sa rue du marais vert cedex rcs b email mailto de mailto envoye mardi juin a accueil objet re votre demande permet de vous renvoyer photo avec date de prise de vue du compteur vous pourrez juger qu'il n'y a pas d'erreur de lecture le a accueil a ecrit bonjour monsieur nous faisons suite a votre demande nous constatons que l'index reel du est identique a celui du soit kwh nous vous invitons a verifier ce releve s'il n'y a pas d'erreur de lecture nous vous invitons a nous contacter au du lundi au vendredi de h a h et de h a h nous pourrons ainsi convenir d'un rendezvous pour l'echange du compteur nous restons bien entendu a votre disposition pour tous renseignements complementaires cordialement guete votre conseiller si vous n'imprimez ce mail qu'en cas de necessite vous contribuerez a preservation de l'environnement energies sa rue du marais vert cedex rcs b email mailto message d'origine de mailto envoye mardi juin a accueil mailto objet contact internet releve confiance importance haute bonjour quand je regarde mon historique de consommation je releve des valeurs en italique qui correspondent a des estimations de consommation etonne de ces estimations en effet alors que je suis abonne au service releve confiance je ne recoit plus de notifications par mail de votre part pour renseigner ma consommation mon dernier releve confiance date du pour releve precedente du vous m'affichez ces estimations heures creuses heures pleines alors qu'en realite a date d'aujourd'hui le le compteur affiche voir piece jointe relevereelle heures creuses heures pleines en consequence je vous demande d'effectuer un reajustement de ma prochaine facture sinon le remboursement des sommes induement prelevees bien cordialement reference contrat numero de compteur af",2
"Email d'origine : Formulaire de contact   Divers (104).msg

email envoye automatiquement suite a une demande sur le site energies madame roue telephone objet divers adresse electronique message bonjour suite a notre entretien telephonique du juillet je vous envoie en piece jointe copie du livret de famille en effet je souhaiterais que mon contrat soit etabli au nom de et non plus roue etant donne que je suis divorcee depuis quelques annees deja d'autre part je vous transmets ma nouvelle adresse rue de gloriette westhoffen ancienne adresse roue rue a compter du juillet enfin je voudrais vous signaler qu'il m'etait impossible de creer mon espace personnel cordialement energies social rue du marais vert cedex ",3
"Email d'origine : Re  votre demande .msg

bonjour voici plus de semaines que ce mail m'a ete envoye nous avons bien receptionne une petite compensation mais sincerement je ne sais pas a quoi ca correspond ni si cela couvre le prejudice d'autre part notre consommation a fortement diminuee depuis l'installation d'un poele a granules je pense qu'il serait interessant d'ajuster notre mensualite en fonction bien a vous cordialement le mai a accueil mailto a ecrit bonjour monsieur nous faisons suite a votre demande et vous confirmons que regularisation est en cours vous allez dans les prochains jours receptionner un courrier de regularisation par voie postale nous restons bien entendu a votre disposition pour tous renseignements complementaires cordialement guete votre conseiller si vous n'imprimez ce mail qu'en cas de necessite vous contribuerez a preservation de l'environnement energies sa rue du marais vert cedex rcs b email mailto reference client commentaires du client bonjour nous avons remarque courant que le relais de notre compteur electrique etait casse et que toute notre consommation passait en heures pleines un technicien est venu nous installer un nouveau compteur le et depuis nous n'avons plus aucunes nouvelles de votre part nous avons un document avec les derniers releves de compteur que nous avons fait en en avezvous besoin pour faire regularisation d'apres nos releves le relais a du s'arreter de fonctionner pendant le mois d'octobre il y a donc toute periode d'octobre a qu'il faudrait regulariser merci d'avance pour votre aide cordialement et ",2
"Email d'origine : Formulaire de demande de transcription (3).msg

bonsoir ayant demenage je vous fais suivre le formulaire de demande de transcription de mon contrat delectricite vous remerciant davance de faire le necessaire je vous ladresse egalement par voie postale et vous en souhaite bonne reception cordialement ",0
"Email d'origine : Fwd  Coupure electricite maison 3 Bld Pasteur 67500 HAGUENAU 2ème étage Ancien locataire M  Sébastien FISCHER et M  Christian LEOTY.msg

bonjour je rectifie mon mail cidessous en fait l' electricite n'a pas ete coupee contrairement a ce que j'ai affirme par erreur cidessous il suffit juste d'effectuer un changement afin que le nouvel abonne soit notre fille veuillez m'excuser pour cette inadvertance cordialement message transfere sujet coupure electricite maison bld pasteur eme etage ancien locataire m et m date de mailto pour mailto mailto bonjour le locataire occupant le logement sous rubrique a fait couper l'electricite de ce logement qu'il a quitte ce jour or des travaux doivent etre faits a compter de lundi seraitil possible de creer rapidement un contrat au nom du proprietaire actuel afin qu'on puisse avoir de l'electricite dans ce logement le proprietaire du deuxieme etage est nee le a adresse rue du foch cijoint extrait de l'acte de donation du attestant que est nouvelle proprietaire notre fille travaillant a paris occupe de gestion du logement en son absence je suis en mesure de signer l'avis de prelevement concernant ce contrat ayant procuration sur le compte priere de bien vouloir faire le necessaire des que possible il faudra me prevenir lorsque vous souhaitez remettre le compteur en route afin que je puisse vous ouvrir l'immeuble pour info le reste de maison appartient son grand cordialement cordialement ",2
"Email d'origine : Formulaire de contact   Divers (140).msg

email envoye automatiquement suite a une demande sur le site energies madame telephone objet divers adresse electronique message bonjour je vous contacte concernant mon contrat electricite je demenage donc j'aimerais l'annuler mon adresse rue jean et mon numero compteur mes sinceres salutations energies social rue du marais vert cedex ",0
"Email d'origine : Résiliation contrat - référence dossier  320025 - référence contrat 1043561.msg

bonjour suite a mon demenagement le du rue de marne rosheim merci de bien vouloir proceder a resiliation de mon contrat cite en objet cidessous les releves de compteur heures creuses heures pleines pourriezvous me confirmer que procedure est correcte et terminee et que resiliation a bien ete prise en compte dans l'attente de votre reponse reference dossier reference contrat ",0
